ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,985,2063,101,NA,2012-01-26
JP-02,青森県,0,0,598,522,27,NA,2012-01-26
JP-03,岩手県,0,0,861,42921,28,※1,2012-01-26
JP-04,宮城県,0,0,133,125013,34,※1,2012-01-26
JP-05,秋田県,0,0,676,895,20,NA,2012-01-26
JP-06,山形県,0,67,663,13067,34,NA,2012-01-26
JP-07,福島県,0,2,NA,97285,47,※1,2012-01-26
JP-08,茨城県,0,0,665,5083,41,NA,2012-01-26
JP-09,栃木県,0,0,956,2150,25,NA,2012-01-26
JP-10,群馬県,0,0,316,1727,27,NA,2012-01-26
JP-11,埼玉県,593,0,0,4214,56,NA,2012-01-26
JP-12,千葉県,0,NA,3857,NA,46,NA,2012-01-26
JP-13,東京都,6,0,2583,6608,56,NA,2012-01-26
JP-14,神奈川県,0,0,0,2873,2,※1,2012-01-26
JP-15,新潟県,0,1,431,6618,30,※1,2012-01-26
JP-16,富山県,0,0,94,305,11,NA,2012-01-26
JP-17,石川県,0,0,142,374,13,NA,2012-01-26
JP-18,福井県,0,0,79,378,16,NA,2012-01-26
JP-19,山梨県,0,0,262,576,21,NA,2012-01-26
JP-20,長野県,0,0,210,1126,49,NA,2012-01-26
JP-21,岐阜県,0,0,188,242,29,NA,2012-01-26
JP-22,静岡県,0,10,449,966,32,NA,2012-01-26
JP-23,愛知県,0,0,254,1042,45,NA,2012-01-26
JP-24,三重県,0,0,81,338,13,NA,2012-01-26
JP-25,滋賀県,0,0,258,132,16,NA,2012-01-26
JP-26,京都府,0,NA,247,798,18,NA,2012-01-26
JP-27,大阪府,0,0,294,1160,34,NA,2012-01-26
JP-28,兵庫県,0,0,397,662,27,NA,2012-01-26
JP-29,奈良県,0,0,69,90,17,NA,2012-01-26
JP-30,和歌山県,0,0,46,83,14,NA,2012-01-26
JP-31,鳥取県,0,0,49,141,15,NA,2012-01-26
JP-32,島根県,0,0,23,121,12,NA,2012-01-26
JP-33,岡山県,0,2,210,424,18,NA,2012-01-26
JP-34,広島県,0,0,175,351,14,NA,2012-01-26
JP-35,山口県,0,0,80,116,13,NA,2012-01-26
JP-36,徳島県,0,0,72,93,14,NA,2012-01-26
JP-37,香川県,0,0,34,64,9,NA,2012-01-26
JP-38,愛媛県,0,0,149,86,12,NA,2012-01-26
JP-39,高知県,0,0,85,58,16,NA,2012-01-26
JP-40,福岡県,0,0,186,527,37,NA,2012-01-26
JP-41,佐賀県,0,0,72,247,12,NA,2012-01-26
JP-42,長崎県,0,0,64,112,14,NA,2012-01-26
JP-43,熊本県,0,0,120,178,23,NA,2012-01-26
JP-44,大分県,0,0,88,260,15,NA,2012-01-26
JP-45,宮崎県,0,0,99,158,13,NA,2012-01-26
JP-46,鹿児島県,0,0,106,164,26,NA,2012-01-26
JP-47,沖縄県,0,33,96,784,26,NA,2012-01-26
