ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,5,942,2100,98,NA,2011-10-06
JP-02,青森県,0,0,719,477,31,NA,2011-10-06
JP-03,岩手県,4,8,882,983,25,※1,2011-10-06
JP-04,宮城県,822,88,NA,NA,7,NA,2011-10-06
JP-05,秋田県,4,192,741,691,21,NA,2011-10-06
JP-06,山形県,19,216,725,11653,34,NA,2011-10-06
JP-07,福島県,95,1533,NA,NA,19,NA,2011-10-06
JP-08,茨城県,20,74,673,2125,39,NA,2011-10-06
JP-09,栃木県,0,61,996,1641,25,NA,2011-10-06
JP-10,群馬県,0,80,327,1669,29,NA,2011-10-06
JP-11,埼玉県,747,9,0,4280,58,NA,2011-10-06
JP-12,千葉県,NA,NA,3659,NA,48,NA,2011-10-06
JP-13,東京都,8,339,2193,5406,51,NA,2011-10-06
JP-14,神奈川県,0,0,0,1476,2,※2,2011-10-06
JP-15,新潟県,0,16,622,6016,30,※2,2011-10-06
JP-16,富山県,0,0,114,355,12,NA,2011-10-06
JP-17,石川県,0,1,129,412,13,NA,2011-10-06
JP-18,福井県,0,18,101,384,15,NA,2011-10-06
JP-19,山梨県,0,19,321,550,22,NA,2011-10-06
JP-20,長野県,0,7,223,913,49,NA,2011-10-06
JP-21,岐阜県,0,0,188,226,29,NA,2011-10-06
JP-22,静岡県,0,170,376,887,33,NA,2011-10-06
JP-23,愛知県,0,0,271,1004,46,NA,2011-10-06
JP-24,三重県,0,0,41,149,12,NA,2011-10-06
JP-25,滋賀県,0,0,283,138,16,NA,2011-10-06
JP-26,京都府,0,NA,242,781,18,NA,2011-10-06
JP-27,大阪府,0,0,294,1103,33,NA,2011-10-06
JP-28,兵庫県,0,0,422,636,28,NA,2011-10-06
JP-29,奈良県,0,0,66,85,17,NA,2011-10-06
JP-30,和歌山県,0,0,52,71,13,NA,2011-10-06
JP-31,鳥取県,0,0,42,131,14,NA,2011-10-06
JP-32,島根県,0,0,20,128,11,NA,2011-10-06
JP-33,岡山県,0,0,160,340,18,NA,2011-10-06
JP-34,広島県,0,0,169,324,15,NA,2011-10-06
JP-35,山口県,0,0,100,92,13,NA,2011-10-06
JP-36,徳島県,0,0,72,87,14,NA,2011-10-06
JP-37,香川県,0,0,25,59,8,NA,2011-10-06
JP-38,愛媛県,0,0,160,96,12,NA,2011-10-06
JP-39,高知県,0,0,70,62,16,NA,2011-10-06
JP-40,福岡県,0,0,224,473,37,NA,2011-10-06
JP-41,佐賀県,0,0,70,238,12,NA,2011-10-06
JP-42,長崎県,0,0,70,109,14,NA,2011-10-06
JP-43,熊本県,0,0,95,153,26,NA,2011-10-06
JP-44,大分県,0,0,122,256,16,NA,2011-10-06
JP-45,宮崎県,0,0,99,138,12,NA,2011-10-06
JP-46,鹿児島県,0,0,116,151,24,NA,2011-10-06
JP-47,沖縄県,0,41,87,631,21,NA,2011-10-06
