ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,931,2092,100,NA,2011-12-15
JP-02,青森県,0,0,581,521,26,NA,2011-12-15
JP-03,岩手県,0,0,873,42939,28,※1,2011-12-15
JP-04,宮城県,5,15,147,123760,35,※1,2011-12-15
JP-05,秋田県,0,3,673,888,20,NA,2011-12-15
JP-06,山形県,0,83,666,12962,34,NA,2011-12-15
JP-07,福島県,18,22,NA,95506,47,※1,2011-12-15
JP-08,茨城県,0,8,628,2627,40,NA,2011-12-15
JP-09,栃木県,0,1,923,1695,25,NA,2011-12-15
JP-10,群馬県,0,0,318,1775,28,NA,2011-12-15
JP-11,埼玉県,648,1,0,4265,56,NA,2011-12-15
JP-12,千葉県,0,NA,3602,NA,46,NA,2011-12-15
JP-13,東京都,7,143,2461,6422,56,NA,2011-12-15
JP-14,神奈川県,0,0,0,2743,2,※1,2011-12-15
JP-15,新潟県,0,1,448,6646,30,※1,2011-12-15
JP-16,富山県,0,0,105,312,11,NA,2011-12-15
JP-17,石川県,0,0,133,397,13,NA,2011-12-15
JP-18,福井県,0,20,93,379,16,NA,2011-12-15
JP-19,山梨県,0,0,267,559,21,NA,2011-12-15
JP-20,長野県,0,0,216,930,47,NA,2011-12-15
JP-21,岐阜県,0,0,187,237,29,NA,2011-12-15
JP-22,静岡県,0,16,454,995,33,NA,2011-12-15
JP-23,愛知県,0,0,255,1000,45,NA,2011-12-15
JP-24,三重県,0,0,100,323,16,NA,2011-12-15
JP-25,滋賀県,0,0,259,131,16,NA,2011-12-15
JP-26,京都府,0,NA,247,805,18,NA,2011-12-15
JP-27,大阪府,0,0,294,1153,34,NA,2011-12-15
JP-28,兵庫県,0,0,411,657,27,NA,2011-12-15
JP-29,奈良県,0,0,67,90,17,NA,2011-12-15
JP-30,和歌山県,0,0,46,77,14,NA,2011-12-15
JP-31,鳥取県,0,0,43,132,15,NA,2011-12-15
JP-32,島根県,0,0,21,125,12,NA,2011-12-15
JP-33,岡山県,0,0,186,394,18,NA,2011-12-15
JP-34,広島県,0,0,174,333,13,NA,2011-12-15
JP-35,山口県,0,0,79,113,13,NA,2011-12-15
JP-36,徳島県,0,0,72,93,14,NA,2011-12-15
JP-37,香川県,0,0,35,63,8,NA,2011-12-15
JP-38,愛媛県,0,0,179,91,12,NA,2011-12-15
JP-39,高知県,0,0,80,53,15,NA,2011-12-15
JP-40,福岡県,0,0,217,519,37,NA,2011-12-15
JP-41,佐賀県,0,0,67,246,12,NA,2011-12-15
JP-42,長崎県,0,0,69,112,14,NA,2011-12-15
JP-43,熊本県,0,0,116,171,23,NA,2011-12-15
JP-44,大分県,0,0,106,260,15,NA,2011-12-15
JP-45,宮崎県,0,0,99,147,13,NA,2011-12-15
JP-46,鹿児島県,0,0,103,163,25,NA,2011-12-15
JP-47,沖縄県,0,23,99,741,22,NA,2011-12-15
