ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,22,955,2182,102,NA,2011-09-08
JP-02,青森県,0,0,763,425,32,NA,2011-09-08
JP-03,岩手県,4,8,884,905,25,※1,2011-09-08
JP-04,宮城県,2234,619,NA,NA,13,NA,2011-09-08
JP-05,秋田県,4,418,922,682,22,NA,2011-09-08
JP-06,山形県,81,388,778,10555,35,NA,2011-09-08
JP-07,福島県,230,3604,NA,NA,25,NA,2011-09-08
JP-08,茨城県,36,105,577,1815,40,NA,2011-09-08
JP-09,栃木県,2,115,996,1611,25,NA,2011-09-08
JP-10,群馬県,0,162,348,1568,32,NA,2011-09-08
JP-11,埼玉県,821,9,0,4311,58,NA,2011-09-08
JP-12,千葉県,NA,NA,3640,NA,48,NA,2011-09-08
JP-13,東京都,7,441,2304,5735,51,NA,2011-09-08
JP-14,神奈川県,8,0,0,1484,2,※2,2011-09-08
JP-15,新潟県,0,218,930,5338,31,※2,2011-09-08
JP-16,富山県,0,0,114,348,12,NA,2011-09-08
JP-17,石川県,0,2,134,400,13,NA,2011-09-08
JP-18,福井県,0,18,110,381,16,NA,2011-09-08
JP-19,山梨県,0,24,342,541,22,NA,2011-09-08
JP-20,長野県,12,9,250,889,50,NA,2011-09-08
JP-21,岐阜県,0,0,179,213,27,NA,2011-09-08
JP-22,静岡県,0,209,394,851,33,NA,2011-09-08
JP-23,愛知県,0,0,255,988,45,NA,2011-09-08
JP-24,三重県,0,0,41,154,12,NA,2011-09-08
JP-25,滋賀県,0,0,278,141,16,NA,2011-09-08
JP-26,京都府,0,NA,240,760,19,NA,2011-09-08
JP-27,大阪府,0,0,NA,1063,25,NA,2011-09-08
JP-28,兵庫県,0,0,438,621,27,NA,2011-09-08
JP-29,奈良県,0,0,67,84,16,NA,2011-09-08
JP-30,和歌山県,0,0,52,65,13,NA,2011-09-08
JP-31,鳥取県,0,0,63,93,14,NA,2011-09-08
JP-32,島根県,0,0,20,132,10,NA,2011-09-08
JP-33,岡山県,0,0,170,335,17,NA,2011-09-08
JP-34,広島県,0,0,154,297,15,NA,2011-09-08
JP-35,山口県,0,0,108,92,13,NA,2011-09-08
JP-36,徳島県,0,0,53,84,14,NA,2011-09-08
JP-37,香川県,0,0,20,62,8,NA,2011-09-08
JP-38,愛媛県,0,0,149,96,11,NA,2011-09-08
JP-39,高知県,0,0,76,54,17,NA,2011-09-08
JP-40,福岡県,0,4,217,460,36,NA,2011-09-08
JP-41,佐賀県,0,0,79,234,12,NA,2011-09-08
JP-42,長崎県,0,0,66,104,14,NA,2011-09-08
JP-43,熊本県,0,0,97,140,26,NA,2011-09-08
JP-44,大分県,0,0,127,263,16,NA,2011-09-08
JP-45,宮崎県,0,0,83,86,11,NA,2011-09-08
JP-46,鹿児島県,0,0,127,153,24,NA,2011-09-08
JP-47,沖縄県,0,36,81,574,21,NA,2011-09-08
