ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,533,2839,90,NA,2013-06-06
JP-02,青森県,0,0,485,919,24,NA,2013-06-06
JP-03,岩手県,0,0,327,38780,28,※1,2013-06-06
JP-04,宮城県,0,0,1062,101328,35,※1,2013-06-06
JP-05,秋田県,0,0,471,1179,20,NA,2013-06-06
JP-06,山形県,0,0,553,9083,34,NA,2013-06-06
JP-07,福島県,0,0,NA,93915,47,※1,2013-06-06
JP-08,茨城県,0,0,584,5325,42,NA,2013-06-06
JP-09,栃木県,0,0,546,3073,25,NA,2013-06-06
JP-10,群馬県,0,0,216,1663,28,NA,2013-06-06
JP-11,埼玉県,118,0,0,3497,56,NA,2013-06-06
JP-12,千葉県,0,NA,4020,4020,45,NA,2013-06-06
JP-13,東京都,0,0,2225,8875,56,NA,2013-06-06
JP-14,神奈川県,0,0,0,2576,24,※1,2013-06-06
JP-15,新潟県,0,0,237,5223,28,※1,2013-06-06
JP-16,富山県,0,0,66,296,10,NA,2013-06-06
JP-17,石川県,0,0,65,445,11,NA,2013-06-06
JP-18,福井県,0,0,52,278,14,NA,2013-06-06
JP-19,山梨県,0,0,155,800,21,NA,2013-06-06
JP-20,長野県,0,0,137,1233,44,NA,2013-06-06
JP-21,岐阜県,0,0,125,319,27,NA,2013-06-06
JP-22,静岡県,0,0,289,1092,33,NA,2013-06-06
JP-23,愛知県,0,0,196,1236,46,NA,2013-06-06
JP-24,三重県,0,0,93,496,17,NA,2013-06-06
JP-25,滋賀県,0,0,219,337,15,NA,2013-06-06
JP-26,京都府,0,0,284,980,16,NA,2013-06-06
JP-27,大阪府,0,0,297,1132,31,NA,2013-06-06
JP-28,兵庫県,0,0,284,992,27,NA,2013-06-06
JP-29,奈良県,0,0,90,173,18,NA,2013-06-06
JP-30,和歌山県,0,0,37,103,11,NA,2013-06-06
JP-31,鳥取県,0,0,43,190,12,NA,2013-06-06
JP-32,島根県,0,0,24,131,13,NA,2013-06-06
JP-33,岡山県,0,0,302,992,19,NA,2013-06-06
JP-34,広島県,0,0,208,550,15,NA,2013-06-06
JP-35,山口県,0,0,48,158,14,NA,2013-06-06
JP-36,徳島県,0,0,33,75,11,NA,2013-06-06
JP-37,香川県,0,0,12,97,7,NA,2013-06-06
JP-38,愛媛県,0,0,142,191,11,NA,2013-06-06
JP-39,高知県,0,0,66,130,15,NA,2013-06-06
JP-40,福岡県,0,0,143,726,38,NA,2013-06-06
JP-41,佐賀県,0,0,25,242,9,NA,2013-06-06
JP-42,長崎県,0,0,44,138,10,NA,2013-06-06
JP-43,熊本県,0,0,107,397,20,NA,2013-06-06
JP-44,大分県,0,0,49,294,15,NA,2013-06-06
JP-45,宮崎県,0,0,86,268,10,NA,2013-06-06
JP-46,鹿児島県,0,0,83,245,26,NA,2013-06-06
JP-47,沖縄県,0,0,61,1002,30,NA,2013-06-06
