ISO 3166-2コード,所在都道府県,避難所 (公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,1005,1545,105,NA,2011-07-28
JP-02,青森県,0,26,786,357,34,NA,2011-07-28
JP-03,岩手県,1144,2032,1716,NA,16,NA,2011-07-28
JP-04,宮城県,8247,2035,NA,NA,21,NA,2011-07-28
JP-05,秋田県,6,485,787,379,21,NA,2011-07-28
JP-06,山形県,142,744,813,6879,35,NA,2011-07-28
JP-07,福島県,1898,11294,NA,NA,35,NA,2011-07-28
JP-08,茨城県,41,128,637,1559,39,NA,2011-07-28
JP-09,栃木県,36,332,938,1497,26,NA,2011-07-28
JP-10,群馬県,14,385,362,1542,31,NA,2011-07-28
JP-11,埼玉県,943,49,0,1661,39,NA,2011-07-28
JP-12,千葉県,NA,NA,3537,NA,47,NA,2011-07-28
JP-13,東京都,97,271,2286,4550,50,NA,2011-07-28
JP-14,神奈川県,54,0,0,1409,4,＊,2011-07-28
JP-15,新潟県,230,1685,1514,3915,31,＊,2011-07-28
JP-16,富山県,0,0,103,396,13,NA,2011-07-28
JP-17,石川県,0,11,164,394,14,NA,2011-07-28
JP-18,福井県,0,11,116,376,16,NA,2011-07-28
JP-19,山梨県,0,22,366,488,22,NA,2011-07-28
JP-20,長野県,51,35,285,864,52,NA,2011-07-28
JP-21,岐阜県,0,0,179,200,30,NA,2011-07-28
JP-22,静岡県,0,307,426,748,33,NA,2011-07-28
JP-23,愛知県,0,0,244,1013,45,NA,2011-07-28
JP-24,三重県,0,0,43,156,13,NA,2011-07-28
JP-25,滋賀県,0,0,279,144,16,NA,2011-07-28
JP-26,京都府,0,NA,48,742,13,NA,2011-07-28
JP-27,大阪府,NA,NA,NA,999,24,NA,2011-07-28
JP-28,兵庫県,0,0,416,592,26,NA,2011-07-28
JP-29,奈良県,0,0,64,75,14,NA,2011-07-28
JP-30,和歌山県,0,0,56,45,15,NA,2011-07-28
JP-31,鳥取県,0,0,78,69,15,NA,2011-07-28
JP-32,島根県,0,0,28,140,11,NA,2011-07-28
JP-33,岡山県,0,0,174,246,18,NA,2011-07-28
JP-34,広島県,0,0,145,283,14,NA,2011-07-28
JP-35,山口県,0,0,103,90,13,NA,2011-07-28
JP-36,徳島県,0,0,51,72,12,NA,2011-07-28
JP-37,香川県,0,0,25,56,9,NA,2011-07-28
JP-38,愛媛県,0,0,154,108,11,NA,2011-07-28
JP-39,高知県,0,0,78,57,16,NA,2011-07-28
JP-40,福岡県,0,0,194,410,36,NA,2011-07-28
JP-41,佐賀県,0,0,81,200,12,NA,2011-07-28
JP-42,長崎県,0,0,65,104,16,NA,2011-07-28
JP-43,熊本県,0,0,104,131,25,NA,2011-07-28
JP-44,大分県,0,0,147,231,16,NA,2011-07-28
JP-45,宮崎県,0,0,76,72,10,NA,2011-07-28
JP-46,鹿児島県,0,0,121,126,24,NA,2011-07-28
JP-47,沖縄県,2,66,80,446,21,NA,2011-07-28
